title,abstract,lcsh_subject_headings,predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
the essential ellen willis,"""out of the vinyl deeps, published in 2011, introduced a new generation to the incisive, witty, and merciless voice of ellen willis through her pioneering rock music criticism in the years that followed, willis's daring insights went beyond popular music, taking on such issues as pornography, religion, feminism, war, and drugs the essential ellen willis gathers writings that span forty years and are both deeply engaged with the times in which they were first published and yet remain fresh and relevant amid today's seemingly intractable political and cultural battles whether addressing the women's movement, sex and abortion, race and class, or war and terrorism, willis brought to each a distinctive attitude--passionate yet ironic, clear-sighted yet hopeful offering a compelling and cohesive narrative of willis's liberationist ""transcendence politics,"" the essays--among them previously unpublished and uncollected pieces--are organized by decade from the 1960s to the 2000s, with each section introduced by young writers who share willis's intellectual bravery, curiosity, and lucidity: irin carmon, spencer ackerman, cord jefferson, ann friedman, and sara marcus the essential ellen willis concludes with excerpts from willis's unfinished book about politics and the cultural unconscious, introduced by her longtime partner, stanley aronowitz an invaluable reckoning of american society since the 1960s, this volume is a testament to an iconoclastic and fiercely original voice ""-- provided by publisher",american essays,"Abortion,1960s,Politics,Terrorism,Intellectual history,Class,Counterculture,Social history,Music criticism,1970s,Rock music criticism,Biography,Punk rock,American society,War,Cultural unconscious,Women's movement,Race,20th century American women authors,1980s,Sex,Cultural history,Transcendence politics,2000s,20th century American literature,Women journalists,Ellen Willis,Women rock music critics,Liberationist politics,1990s,Feminism,Popular music","Abortion,Nineteen sixties,Politics and government,Terrorism,Intellectual history,Working class,Counterculture,Social history,Musical criticism,Nineteen seventies,Post-rock music,Biography,Punk rock music,Anti-Americanism,War,Guilt and culture,Men's movement,Race,Women authors, American,1980,Sex,History in popular culture,Transcendentalism,2000,American literature,Women journalists,Actresses, Black,Women music critics,Gay liberation movement,1988,Feminism,Popular music",0.00,0.00,0.00,0.25,34.00
"1987 neptune plaza concert series collection, 1987","manuscript materials, sound recordings, photographs, and slides documenting performances of bluegrass music; music and dance from cape breton, nova scotia; afghan and iranian traditional music; steel band music; gospel music; and pan-andean music recorded live outdoors on neptune plaza in front of the thomas jefferson building, library of congress, at concerts from april through september 1987, sponsored by the american folklife center and the national council for the traditional arts",folk music; music; bluegrass music; bluegrass music; gospel music; folk music; folk dancing; tar (lute) music; music; music; popular music; popular music; rabab music; tabla music; steel band music; steel band music; afghans; african americans; canadians; caribbean americans,"Slides,Afghanistan,Andean music,National Council for the Traditional Arts,Gospel music,Ethnomusicology,Library of Congress,Archives,Music festivals,Panpipes,Cape Breton (N.S.),Iran,Photographs,Concerts,Sound recordings,Field recordings,American Folklife Center,Folk music,Steel bands,Nova Scotia,Bluegrass music","Slides,Afghanistan,Songs, Rarotongan,Arts, Surinamese,Gospel music,Ethnomusicology,Classification, Library of Congress,Archives,Music festivals,Panpipes,Cape Breton Island (N.S.),Iran,Photographs,Concerts,Sound recordings,Field recordings,Lockwood House (Painesville, Ohio),Folk music,Steel bands (Music),Nova Scotia,Bluegrass music",0.21,0.12,0.40,0.52,25.00
true or false?,"an encyclopedic compendium of facts, images, and infographics brings familiar topics to life and helps readers discover fun-filled trivia and statistics in a range of subjects, from science and history to culture and the natural world",common fallacies; curiosities and wonders,"Information storage and retrieval systems,Culture,Science,Natural history,History,Trivia,Reference works,Statistics,Information resources","Information storage and retrieval systems,Culture,Science,Natural history,History,Trivia,Reference,Statistics,Information resources",0.00,0.00,0.00,0.24,9.00
happy vagrancy : essays from an easy chair,"""this volume includes many ruminations on nature, the nature of writing, mortality, and human folly and near folly, rendered in prose that is often poetic and deeply entwined in the author's intertextual web of influences, which vary from low brow to a very high forehead indeed"" -- provided by publisher",nature; writing; life; old age,"Essayists,Mortality,Human behavior,Intertextuality,Influence,Literary essays,American essays.,Authors,Literary influences,Folly,Writing,Nature","Essayists,Mortality,Human behavior,Intertextuality,Influence,Criticism, Personal, in literature,American essays,Authors,Association of ideas in literature,Folly,Writing,Nature",0.50,0.14,0.85,0.50,14.00
intentional practice for museums : a guide for maximizing impact,"""intentional practice for museums: a guide for maximizing impact introduces the cycle of intentional practice--a practical approach to planning, evaluating, reflecting, and aligning your work""-- provided by publisher",museums; system theory,"Museums,Museum administration,Nonprofit management,Performance improvement,Strategic planning.,Museum management,Reflective practice,Museum evaluation,Organizational change,Cycle of intentional practice,Museum planning,Quality of care","Museums,Museum registrars,Nonprofit organizations,Specific performance,Strategic planning,Museum cooperation,Reflective learning,Museum exhibits,Organizational change,Do-it-yourself work,Museum architecture,Long-term care",0.50,0.08,0.43,0.45,12.00
mrm5 : museum registration methods,"rewritten, expanded and fully updated, mrm5 encompasses all that needs to be known and done when a museum accessions, measures, marks, moves, and displays or stores an object/artifact of any kind mrm5 includes expert advice from more than 60 acknowledged leaders in their disciplines new with the 5th edition are special teaching sections that challenge students and seasoned staff alike with questions about the process and procedures of accessioning and caring for objects",museum registration methods; museums,"Museum staff training,Collections management,Museums,Museum collections,manuals,etc.,Museum registration,Museum education","Older volunteers in museums,Collection management,Museums,Museum archives,Technical manuals,Shorts (Clothing),Museum registration methods,Schools of museum studies",1.00,0.25,0.50,0.64,8.00
the world's craziest records,"""describes some of the craziest, silliest, and most extraordinary records achieved by people around the world""-- provided by publisher",curiosities and wonders,"World records,Guinness World Records,Amusements,Recreational activities,Popular culture,Anecdotes.,Human interest,Human achievements","World records,World records,Amusements,Recreational activities,Popular culture,Anecdotes,Self-interest,Awareness",0.00,0.00,0.00,0.26,7.00
museums in china : materialized power and objectified identities,"""from the earliest museums established by western missionaries in order to implement religious and political power, to the role they have played in the formation of the modern chinese state, the origin and development of museums in mainland china differ significantly from those in the west the occurrence of museums in mainland china in the late nineteenth century was primarily a result of internal and external conflicts, westernization and colonialism, and as such they were never established solely for enjoyment and leisure using a historical and anthropological framework, this book provides a holistic and critical review on the establishment and development of museums in mainland china from 1840 to the present day, and shows how museums in china have been used by a wide range of social, political, and state actors for a number of economic, religious, political and ideological purposes indeed, tracey l-d lu examines the key role played by museums in reinforcing social segmentation, influencing the economy, protecting cultural heritage and the construction and enhancement of ethnic identities and nationalism, and how they have throughout their history helped the powerful to govern the less powerful or the powerless more broadly, this book provides important comparative insights on museology and heritage management, and questions who the key stakeholders are, how museums reflect broader social and cultural changes, and the relationship between museum and heritage management drawing on extensive archival research and anthropological fieldwork, as well as the author's experience working as a museum curator in mainland china in the late 1980s""-- provided by publisher",museums,"Westernization,Stakeholders,Social segmentation,Anthropology,Ethnic identity,Museology,Colonialism,Museums,Heritage management,History,Power (Social sciences),Museum curators,Archives,Nationalism,Social change,China,Museum management,Fieldwork,Cultural heritage,Cultural change,Comparative study,Identity (Philosophical concept)","Western civilization,Stakeholder management,Online social networks,Anthropology,Ethnic identity,Museum studies,Colonial influence,Museums,Heritage tourism,History,Power (Social sciences),Museum curators,Archives,Nationalism,Social change,China,Museum cooperation,Fieldwork,Heritage tourism,Cultural control,Comparative studies,Identity (Philosophical concept)",1.00,0.05,0.24,0.38,21.00
"your pinkie is more powerful than your thumb : and 333 other surprising facts that will make you wealthier, healthier, and smarter than everyone else","focuses on the most recent discoveries in health, science, and history to present a collection of money and health-related facts",questions and answers; curiosities and wonders,"Science,Wealth,Health,Personal finance,Wealth creation,Consumer behavior,Self improvement,History,Money,Health promotion,Fact books.,Information dissemination,Knowledge management,Surprising facts","Science,Wealth,Health,Finance, Personal,Wealth,Consumer behavior,Mental efficiency,History,Money,Health promotion,Big books,Selective dissemination of information,Knowledge management,First issues",0.00,0.00,0.00,0.28,14.00
"knowledge and the public interest, 1575-1725","""many studies relate modern science to modern political and economic thought using one shift in order to explain the other, however, has begged the question of modernity's origins new scientific and political reasoning emerged simultaneously as controversial forms of probabilistic reasoning neither could ground the other they both rejected logical systems in favor of shifting, incomplete, and human-oriented forms of knowledge which did not meet accepted standards of speculative science this study follows their shared development by tracing one key political stratagem for linking human desires to the advancement of knowledge: the collaborative wish list highly controversial at the beginning of the seventeenth century, charismatic desiderata lists spread across europe, often deployed against traditional sciences they did not enter the academy for a century but eventually so shaped the deep structures of research that today this once controversial genre appears to be a musty and even pedantic term of art""-- provided by publisher",learning and scholarship; communication in learning and scholarship; science,"Science,Knowledge,Science and politics,History of knowledge,Social sciences,Science policy,Probabilism,Intellectual history,Seventeenth century,Knowledge management,Historical sociology.,History of science,Modernity,Research,Humanities,18th century,Europe,Humanism,Collaborative research,History,History of ideas,Politics and government,17th century,Political science,Intellectual life,Political culture,Academia,Desiderata,Eighteenth century,Early modern period,Government and science,History of political thought,Public interest,Wish lists,Science and state","Science,Knowledge and learning,Democracy and science,Intellectual history,Social sciences,Democracy and science,Probabilism,Intellectual history,Seventeenth century,Knowledge management,Historical sociology,Historians of science,Post-modern . . .,Research,Humanities,18th century,Europe,Humanism,Community-based research,History,History and criticism,Politics and government,17th century,Political science,Intellectual life,Political culture,Degrees, Academic,Lepiota,Eighteenth century,Modern period, 1500-,Scientists in government,History and criticism,Public interest,Want lists,Science and state",0.33,0.03,0.22,0.40,34.00
the world almanac for kids 2012,"offers facts on a range of topics, from animals to weather and from computers to sports","almanacs, children's","Children,General works,Almanacs,Reference books,Children's reference books","Children,General works,Almanacs,Reference books,Children's reference books",0.50,0.20,0.39,0.59,5.00
humanities and pedagogy : teaching of humanities today,"contributed papers presented at the international seminar on ""teaching of humanities"", what is needed now held in 2001 at ciefl",humanities; humanities,"CIEFL,Pedagogy,Research,Humanities,India.,Teaching,Seminars,Education,Higher Education","Irpex,Critical pedagogy,Research,Humanities,India,Teaching,Seminars,Education,Education (Higher)",1.00,0.11,0.32,0.40,9.00
beyond coincidence : amazing stories of coincidence and the mystery behind them,"from magic and religion to subatomic particles and probability, a look at the baffling complexities of coincidence recounts more than two hundred bizarre stories of synchronicity",curiosities and wonders; coincidence,"Subatomic particles,Religious aspects,Coincidence,Parapsychology,Physics,Magic,Mathematics,Anomalies.,Probability,Synchronicity","Particles (Nuclear physics),Religious aspects,Coincidence,Parapsychology,Physics,Magic,Mathematics,Anomalies,Probabilities,Syncretistic controversy",0.50,0.10,0.39,0.35,10.00
the new book of knowledge,"an illustrated encyclopedia with articles on history, literature, art and music, geography, mathematics, science, sports, and other topics some articles include activities, games, or experiments",children's encyclopedias and dictionaries,"Encyclopedias,Knowledge,Science,Experiments,Literature,Geography,History,Mathematics,Games,Art,Activity programs,Sports,Music,Reference books,Information storage and retrieval systems","Encyclopedias,Knowledge and learning,Science,Experiments,Literature,Geography,History,Mathematics,Games,Art,Activity programs,Sports,Music,Reference books,Information storage and retrieval systems",0.00,0.00,0.00,0.28,15.00
the future without a past : the humanities in a technological society,"""argues that technological imperatives like rationalization, universalism, monism, and autonomy have transformed the humanities and altered the relation between humans and nature examines technology and its impact on education, historical memory, and technological and literary values in criticism and theory, concluding with an analysis of the fiction of don delillo""--provided by publisher",humanities; technology and civilization; science and the humanities; humanities; learning and scholarship,"Criticism,Universalism,Humanities,Technology and civilization,Human-nature relationship,Rationalism,Technology and society,Historical preservation,Don DeLillo,Humanism,Autonomy,Literary theory,Education,Human ecology,American literature.,Memory,Technological innovations,Monism","Criticism,Universalism,Humanities,Technology and civilization,Relatedness (Psychology),Rationalism,Technology and older people,Historic preservation,Pasillos,Humanism,Autonomy,Paradox in literature,Education,Human ecology,American literature,Memory,Technological innovations,Monism",0.50,0.11,0.30,0.44,18.00
"massachusetts treasures : a guide to marvelous, must-see museums","""well known for its world-renowned art museums--from the clark art institute in williamstown to the museum of fine arts in boston--massachusetts is also home to numerous institutions with more eclectic collections and, oftentimes, lower profiles these include mansfield's national black doll museum of history and culture, watertown's plumbing museum, and granville's noble and cooley center for historic preservation in massachusetts treasures, chuck d'imperio explores more than forty museums scattered throughout the bay state, from cape cod to the berkshires many--but not all--might be considered ""offbeat,"" and each and every one is enchanting through personal visits and interviews with founders and directors, d'imperio offers an inside glimpse into some of the commonwealth's most unique museums, providing a valuable guide for road warriors and history buffs discovering massachusetts either for the first or the tenth time""-- provided by publisher",museums,"Museums,Museum collections,Road travel,Historic preservation,Travel guides,Art museums,Massachusetts,Cultural tourism.,History buffs,Cultural institutions","Museums,Museum archives,Automobile travel,Historic preservation,Tour guides (Manuals),Art museums,Massachusetts,Culture and tourism,Historicity,Cultural policy",1.00,0.10,0.43,0.53,10.00
museum rhetoric : building civic identity in national spaces,"""examines the role of museums in promoting cultural heritage and national identity, focusing on rhetorical understandings of public space and civic engagement""--provided by publisher",museums; national museums; rhetoric; nationalism; cultural property,"Museums,Rhetoric,Cultural studies.,Identity formation,Social aspects of Museums,Cultural policy,Civic engagement,National identity,Cultural heritage,Public spaces","Museums,Rhetoric,Cross-cultural studies,Matching theory,Museums and social media,Cultural policy,Civic improvement,Identity,Heritage tourism,Public spaces",0.40,0.20,0.50,0.55,10.00
museum activism,"""only a decade ago, the notion that museums, galleries and heritage organisations might engage in activist practice, with explicit intent to act upon inequalities, injustices and environmental crises, was met with scepticism and often derision seeking to purposefully bring about social change was viewed by many within and beyond the museum community as inappropriately political and antithetical to fundamental professional values today, although the idea remains controversial, the way we think about the roles and responsibilities of museums as knowledge-based, social institutions is changing museums and activism examines the increasing significance of this activist trend in thinking and practice at this crucial time in the evolution of museum thinking and practice, this ground-breaking volume brings together more than fifty contributors working across six continents to explore, analyse and critically reflect upon the museum's relationship to activism including contributions from practitioners, artists, activists and researchers, this wide-ranging examination of new and divergent expressions of the inherent power of museums as forces for good, and as activists in civil society, aims to encourage further experimentation and enrich the debate in this nascent and uncertain field of museum practice museum activism elucidates the largely untapped potential for museums as key intellectual and civic resources to address inequalities, injustice and environmental challenges this makes the book essential reading for scholars and students of museum and heritage studies, gallery studies, arts and heritage management and politics it will be a source of inspiration to museum practitioners and museum leaders around the globe""-- provided by publisher",museums; museums; museums; museum exhibits; social justice; social influence,"Arts management,Social change,Museum administration,Museums,Civil society,Inequality.,Activism,Community engagement,Human rights,Museum studies,Politics,Social responsibility,Museum practice,Social justice,Cultural institutions,Environmental challenges,Environmentalism,Heritage studies","Arts administrators,Social change,Museum registrars,Museums,Civil society,Numbers, Negative,Activism,Social participation,Human rights,Museum studies,Politics and government,Social rights,Museum studies,Social justice,Cultural policy,Environmental degradation,Environmentalism,Demographic archaeology",0.50,0.11,0.47,0.54,18.00
mental-floss : the book : the greatest lists in the history of listory,"for ten years, the knowledge seekers at mental-floss have been hunting and trapping the world's rarest facts, locking them into captivating lists for the world to admire this book is packed with a decade's worth of the smartest, quirkiest stories around",lists,"Knowledge management,Lists,Popular culture,History,Books,Curiosities and wonders,Intellectual curiosity,Rarities.,Information resources","Knowledge management,Lists,Popular culture,History,Books,Curiosities and wonders,Intellectual life,Sorbs,Information resources",1.00,0.11,0.63,0.32,9.00
snapshots of museum experience : understanding child visitors through photography,"""children are one of the major audiences for museums, but their visits are often seen solely from the point of view of museum learning in snapshots of museum experience, will buckingham draws upon elee kirk's research amongst child visitors to the oxford university museum of natural history, to take a different approach using a method of photo-elicitation with four- and five-year-old child visitors to the museum, the book investigates children's experience of the museum, and in the process undermines many of our assumptions about the interests, needs and demands of child museum visitors drawing together the fields of museum studies and childhood studies, the book considers children as active creators of the museum visit it investigates the way that children navigate and take control of the physical and social spaces of the museum, finding their own idiosyncratic pathways through these spaces it also explores how elements of the museum 'light up', becoming salient to the child visitor finally, it investigates how children make sense through intellectually and imaginatively engaging with these elements of the museum visit snapshots of museum experiences gives a unique insight into the sheer diversity of children's museum experiences and discusses how museums might cater more successfully to the needs of their child visitors as such, it should be of great interest to academics, researchers and students in the fields of museum studies, visitor studies and childhood studies it should also be essential reading for museum educators and exhibition designers""-- provided by publisher",museums and children,"Education,Museum interpretation,Museum accessibility,Museum education,Child development,Museums,Photo-elicitation,Museum exhibits,Qualitative research,Children's interests,Museum navigation,Childhood studies,Learning,Museum visitors,Social spaces,Visitor studies,Children's experiences,Museum design,Research.","Education,Museum techniques,Museum visitors,Schools of museum studies,Child development,Museums,Image quality,Museum exhibits,Qualitative research,Video games and children,Museum exhibits,Early childhood education,Learning,Museum visitors,Public spaces,Visitor surveys,Experience in children,Museum architecture,Research",0.00,0.00,0.00,0.46,17.00
nomenclature 30 for museum cataloging,"""nomenclature 30 is a much-expanded edition of robert g chenhall's system for classifying man-made objects, originally published in 1978 the chenhall system is the standard cataloging tool for thousands of museums and historical organizations across the united states and canada in this third edition, three new hierarchical levels of terms allow for more precise definitions of objects and their functions every classification and object term has been reviewed and revised as needed by a professional task force appointed by the american association for state and local history""--publisher's description",museum registration methods,"Cultural property,Museum administration,Museum collections,Cataloging,Classification of museum collections.,Museums,Cataloging of museum collections,Museum technique,Archives,Museum catalogs,Information storage and retrieval systems,Object-oriented information systems,Classification,Libraries,Collections management,American Association for State and Local History,Artifact classification,Material culture,Nomenclature","Cultural property,Museum registrars,Museum archives,Cataloging,Museum docents,Museums,Museum docents,Museum techniques,Archives,Museum stores,Information storage and retrieval systems,Object-oriented methods (Computer science),Classification,Libraries,Collection management,Statesmen as authors,Risography,Material culture,Nomenclature",0.00,0.00,0.00,0.37,18.00
the digital humanities : a primer for students and scholars,"""the digital humanities is a comprehensive introduction and practical guide to how humanists use the digital to conduct research, organize materials, analyze, and publish findings it summarizes the turn toward the digital that is reinventing every aspect of the humanities among scholars, libraries, publishers, administrators, and the public beginning with some definitions and a brief historical survey of the humanities, the book examines how humanists work, what they study, and how humanists and their research have been impacted by the digital and how, in turn, they shape it it surveys digital humanities tools and their functions, the digital humanists' environments, and the outcomes and reception of their work the book pays particular attention to both theoretical underpinnings and practical considerations for embarking on digital humanities projects it places the digital humanities firmly within the historical traditions of the humanities and in the contexts of current academic and scholarly life""-- provided by publisher",digital humanities; humanities; humanities; humanities; humanists; digital media; digital communications; information storage and retrieval systems,"Academic Libraries,Research,Information Literacy,Digital Humanities,Humanities,Humanism,Information Technology,Digital Preservation,Digital Libraries,Scholarly Communication","Academic libraries,Research,Information literacy,Digital humanities,Humanities,Humanism,Information technology,Digital preservation,Digital libraries,Scholarly publishing",0.33,0.20,0.79,0.62,10.00
signs & symbols,"from simple shapes and colors to gods, mythical beasts, sacred rituals, and global branding, over 2,000 signs and symbols are explained through text, illustrations, and photography grouped thematically and comprehensively cross-referenced includes the physical world, animals, plants, humans, colors, shapes, patterns, numbers, picture writing, alphabets, international signs, professional signs, brands and logos, heraldic emblems, national flags, sign languages and signals, and symbolic gestures",signs and symbols; signs and symbols; signs and symbols,"Iconography,Iconography in art,Anthropology,Symbolism,Visual arts,Cross-cultural studies,Visual communication,Sign language,Heraldry,Visual perception.,Language,International communication,Comparative linguistics,Gestures in art,Graphic communication,Semiotics,Signs and symbols,Body language,Gestures,Communication in art,Branding,Marketing,Cultural anthropology,Brands,Nonverbal communication,Communication,Symbolic interactionism","Iconography,Iconography,Anthropology,Symbolism,Graphic arts,Cross-cultural studies,Visual communication,Sign language,Heraldry,Visual perception,Language,Communication, International,Comparative linguistics,Gesture in art,Visual communication,Semiotics,Signs and symbols,Body language,Gesture,Communication in art,Branding (Marketing),Marketing,Anthropology,Brand choice,Nonverbal communication,Communication,Symbolic interactionism",1.00,0.04,1.00,0.29,24.00
