title,abstract,lcsh_subject_headings,predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
the essential ellen willis,"""out of the vinyl deeps, published in 2011, introduced a new generation to the incisive, witty, and merciless voice of ellen willis through her pioneering rock music criticism in the years that followed, willis's daring insights went beyond popular music, taking on such issues as pornography, religion, feminism, war, and drugs the essential ellen willis gathers writings that span forty years and are both deeply engaged with the times in which they were first published and yet remain fresh and relevant amid today's seemingly intractable political and cultural battles whether addressing the women's movement, sex and abortion, race and class, or war and terrorism, willis brought to each a distinctive attitude--passionate yet ironic, clear-sighted yet hopeful offering a compelling and cohesive narrative of willis's liberationist ""transcendence politics,"" the essays--among them previously unpublished and uncollected pieces--are organized by decade from the 1960s to the 2000s, with each section introduced by young writers who share willis's intellectual bravery, curiosity, and lucidity: irin carmon, spencer ackerman, cord jefferson, ann friedman, and sara marcus the essential ellen willis concludes with excerpts from willis's unfinished book about politics and the cultural unconscious, introduced by her longtime partner, stanley aronowitz an invaluable reckoning of american society since the 1960s, this volume is a testament to an iconoclastic and fiercely original voice ""-- provided by publisher",american essays,"American culture,Feminist theory,Media criticism,Criticism,Journalism,Feminism,Politics and culture,interpretation,Social justice,Rock music criticism,Women's rights,etc,American","American Dream,Feminist theory,Mass media criticism,Criticism,Journalism,Feminism,Politics and culture,Interpretation,Social justice,Post-rock music,Women's rights,Sweepstakes,American",0.00,0.00,0.00,0.28,13.00
"1987 neptune plaza concert series collection, 1987","manuscript materials, sound recordings, photographs, and slides documenting performances of bluegrass music; music and dance from cape breton, nova scotia; afghan and iranian traditional music; steel band music; gospel music; and pan-andean music recorded live outdoors on neptune plaza in front of the thomas jefferson building, library of congress, at concerts from april through september 1987, sponsored by the american folklife center and the national council for the traditional arts",folk music; music; bluegrass music; bluegrass music; gospel music; folk music; folk dancing; tar (lute) music; music; music; popular music; popular music; rabab music; tabla music; steel band music; steel band music; afghans; african americans; canadians; caribbean americans,"DC,Music festivals,United States,Washington DC (Libraries),Library of Congress,Neptune Plaza (Washington,Bluegrass music,Traditional music,DC),Concerts","Friendship (Washington, D.C.),Music festivals,United States,Presidential libraries,Classification, Library of Congress,Washington Circle (Washington, D.C.),Bluegrass music,Accompaniments (Music),2007-,Concerts",0.07,0.10,0.36,0.45,10.00
true or false?,"an encyclopedic compendium of facts, images, and infographics brings familiar topics to life and helps readers discover fun-filled trivia and statistics in a range of subjects, from science and history to culture and the natural world",common fallacies; curiosities and wonders,"Educational resources,Culture,Infographics,Educational media,Visual communication,Science,Statistics,Information graphics,Trivia,Fun facts,Natural history,Reference books,History,Encyclopedias,Reference works","Open educational resources,Culture,Information visualization,Media programs (Education),Visual communication,Science,Statistics,Information visualization,Trivia,Rumor,Natural history,Reference books,History,Encyclopedias,Reference",0.00,0.00,0.00,0.27,15.00
happy vagrancy : essays from an easy chair,"""this volume includes many ruminations on nature, the nature of writing, mortality, and human folly and near folly, rendered in prose that is often poetic and deeply entwined in the author's intertextual web of influences, which vary from low brow to a very high forehead indeed"" -- provided by publisher",nature; writing; life; old age,"Human nature,Humor,Mortality,Writing,Essays,Nature,Intertextuality,American,Philosophy","Self-interest,Humor,Mortality,Writing,Essays,Nature,Intertextuality,American,Philosophy",0.50,0.22,0.43,0.59,9.00
intentional practice for museums : a guide for maximizing impact,"""intentional practice for museums: a guide for maximizing impact introduces the cycle of intentional practice--a practical approach to planning, evaluating, reflecting, and aligning your work""-- provided by publisher",museums; system theory,"Cultural institutions,Museum management,Museum evaluation,Strategic planning,Organizational effectiveness,Museum education,Museum administration,Program evaluation,Museum planning,Organizational change","Cultural relations,Museum cooperation,Museum cooperation,Strategic planning,Organizational effectiveness,Schools of museum studies,Museum cooperation,Twelve-step programs,Museum cooperation,Organizational change",0.00,0.00,0.00,0.53,10.00
mrm5 : museum registration methods,"rewritten, expanded and fully updated, mrm5 encompasses all that needs to be known and done when a museum accessions, measures, marks, moves, and displays or stores an object/artifact of any kind mrm5 includes expert advice from more than 60 acknowledged leaders in their disciplines new with the 5th edition are special teaching sections that challenge students and seasoned staff alike with questions about the process and procedures of accessioning and caring for objects",museum registration methods; museums,"Cultural property preservation,Cultural heritage preservation,Object preservation,Object conservation,Artifact handling,Museum registration,Collections care,Museum technique,Museum collections management","Cultural property,Historic preservation,Minimal design,Direct object,Perforating system,Museum registration methods,Collection management,Museum techniques,Museum docents",0.00,0.00,0.00,0.53,9.00
the world's craziest records,"""describes some of the craziest, silliest, and most extraordinary records achieved by people around the world""-- provided by publisher",curiosities and wonders,"Human endeavors,Amazing feats,Unusual records,Human achievements,World records,Record breaking,Records (Documents),Bizarre records,Guinness World Records,Extraordinary achievements,Unconventional accomplishments","Job creation,One-hit wonders,Records,Questions and answers,World records,Records,Document selection,Records,World records,Famous problems,Historical models",0.00,0.00,0.00,0.15,11.00
museums in china : materialized power and objectified identities,"""from the earliest museums established by western missionaries in order to implement religious and political power, to the role they have played in the formation of the modern chinese state, the origin and development of museums in mainland china differ significantly from those in the west the occurrence of museums in mainland china in the late nineteenth century was primarily a result of internal and external conflicts, westernization and colonialism, and as such they were never established solely for enjoyment and leisure using a historical and anthropological framework, this book provides a holistic and critical review on the establishment and development of museums in mainland china from 1840 to the present day, and shows how museums in china have been used by a wide range of social, political, and state actors for a number of economic, religious, political and ideological purposes indeed, tracey l-d lu examines the key role played by museums in reinforcing social segmentation, influencing the economy, protecting cultural heritage and the construction and enhancement of ethnic identities and nationalism, and how they have throughout their history helped the powerful to govern the less powerful or the powerless more broadly, this book provides important comparative insights on museology and heritage management, and questions who the key stakeholders are, how museums reflect broader social and cultural changes, and the relationship between museum and heritage management drawing on extensive archival research and anthropological fieldwork, as well as the author's experience working as a museum curator in mainland china in the late 1980s""-- provided by publisher",museums,"Museology,China,Nationalism,Power (Social sciences),Museums,Identity (Psychology),Cultural property","Museum studies,China,Nationalism,Power (Social sciences),Museums,Identity (Psychology),Cultural property",1.00,0.14,0.39,0.42,7.00
"your pinkie is more powerful than your thumb : and 333 other surprising facts that will make you wealthier, healthier, and smarter than everyone else","focuses on the most recent discoveries in health, science, and history to present a collection of money and health-related facts",questions and answers; curiosities and wonders,"Personal finance,Mindfulness,Health education,Self,Alternative medicine,Nutrition,Wellness,Health promotion,Wealth creation,Popular culture","Finance, Personal,Mindfulness (Psychology),Health education,Self,Alternative medicine,Nutrition,Health promotion,Health promotion,Wealth,Popular culture",0.00,0.00,0.00,0.23,10.00
"knowledge and the public interest, 1575-1725","""many studies relate modern science to modern political and economic thought using one shift in order to explain the other, however, has begged the question of modernity's origins new scientific and political reasoning emerged simultaneously as controversial forms of probabilistic reasoning neither could ground the other they both rejected logical systems in favor of shifting, incomplete, and human-oriented forms of knowledge which did not meet accepted standards of speculative science this study follows their shared development by tracing one key political stratagem for linking human desires to the advancement of knowledge: the collaborative wish list highly controversial at the beginning of the seventeenth century, charismatic desiderata lists spread across europe, often deployed against traditional sciences they did not enter the academy for a century but eventually so shaped the deep structures of research that today this once controversial genre appears to be a musty and even pedantic term of art""-- provided by publisher",learning and scholarship; communication in learning and scholarship; science,"17th century,History; History of Science,History of Knowledge,Science,History of Science,Science and Politics,Renaissance,Early Modern History,Desiderata (Books),Scientific Methodology,Probabilism,Europe","17th century,Historians of science,Intellectual history,Science,Discoveries in science,Democracy and science,Renaissance,History, Modern,Manuscripts, Bugis,Single subject research,Probabilism,Europe",0.33,0.08,0.29,0.43,12.00
the world almanac for kids 2012,"offers facts on a range of topics, from animals to weather and from computers to sports","almanacs, children's","Children's encyclopedias,Educational resources,Almanacs for children,Educational works,Almanacs,Juvenile literature,Informational works,Children's reference books,Reference books for children,American,Science for children","Children's encyclopedias and dictionaries,Open educational resources,Almanacs, Children's,Educational work,Almanacs,Juvenile literature,Information theory in research,Children's reference books,Children's reference books,American,Analogy in science education",0.50,0.09,0.33,0.52,11.00
humanities and pedagogy : teaching of humanities today,"contributed papers presented at the international seminar on ""teaching of humanities"", what is needed now held in 2001 at ciefl",humanities; humanities,"Education,Academic Standards,Higher Education,Humanities Education,Interdisciplinary Approach,Humanities,Educational Innovation,Education and Pedagogy,Pedagogy,Curriculum Development,Higher,Teacher Education","Education,Academic etiquette,Education (Higher),Humanities,Interdisciplinary research,Humanities,Educational innovations,Critical pedagogy,Critical pedagogy,Curriculum change,Change,Teacher educators",1.00,0.08,0.43,0.45,12.00
beyond coincidence : amazing stories of coincidence and the mystery behind them,"from magic and religion to subatomic particles and probability, a look at the baffling complexities of coincidence recounts more than two hundred bizarre stories of synchronicity",curiosities and wonders; coincidence,"Randomness,Statistical analysis,Fate,Serendipity,Parapsychology,Probability theory,Synchronicity,Coincidence,Miracles","Quantifiers,Statistical methods,Retribution,Serendipity,Parapsychology,Probabilities,Synchronization,Coincidence,Miracles",0.50,0.11,0.50,0.35,9.00
the new book of knowledge,"an illustrated encyclopedia with articles on history, literature, art and music, geography, mathematics, science, sports, and other topics some articles include activities, games, or experiments",children's encyclopedias and dictionaries,"Education,Educational games,Information resources,Illustrated works,Dictionaries,Reference sources,Study and teaching,Encyclopedias,Reference works,Learning activities","Education,Educational games,Information resources,Extra-illustrated,Dictionaries,Reference sources,Study and teaching,Encyclopedias,Reference,Student activities",0.00,0.00,0.00,0.36,10.00
the future without a past : the humanities in a technological society,"""argues that technological imperatives like rationalization, universalism, monism, and autonomy have transformed the humanities and altered the relation between humans and nature examines technology and its impact on education, historical memory, and technological and literary values in criticism and theory, concluding with an analysis of the fiction of don delillo""--provided by publisher",humanities; technology and civilization; science and the humanities; humanities; learning and scholarship,"Information technology,Philosophy and technology,Technology and society,Criticism,Postmodernism,Technology and culture,Humanism,Science and literature,Modernism","Information technology,Philosophy and cognitive science,Technology and older people,Criticism,Postmodernism,Technology in popular culture,Humanism,Literature and science,Modernism (Art)",0.00,0.00,0.00,0.55,9.00
"massachusetts treasures : a guide to marvelous, must-see museums","""well known for its world-renowned art museums--from the clark art institute in williamstown to the museum of fine arts in boston--massachusetts is also home to numerous institutions with more eclectic collections and, oftentimes, lower profiles these include mansfield's national black doll museum of history and culture, watertown's plumbing museum, and granville's noble and cooley center for historic preservation in massachusetts treasures, chuck d'imperio explores more than forty museums scattered throughout the bay state, from cape cod to the berkshires many--but not all--might be considered ""offbeat,"" and each and every one is enchanting through personal visits and interviews with founders and directors, d'imperio offers an inside glimpse into some of the commonwealth's most unique museums, providing a valuable guide for road warriors and history buffs discovering massachusetts either for the first or the tenth time""-- provided by publisher",museums,"Cultural institutions,Museum curators,Massachusetts,Tourist information,Museums,Guidebooks,Art museums","Cultural relations,Museum curators,Massachusetts,Tourist maps,Museums,Guidebooks,Art museums",1.00,0.14,0.36,0.61,7.00
museum rhetoric : building civic identity in national spaces,"""examines the role of museums in promoting cultural heritage and national identity, focusing on rhetorical understandings of public space and civic engagement""--provided by publisher",museums; national museums; rhetoric; nationalism; cultural property,"Cultural institutions,Public spaces,Rhetoric,Cultural heritage,Nationalism,Museums,Civic engagement,Identity (Psychology)","Cultural relations,Public spaces,Rhetoric,Heritage tourism,Nationalism,Museums,Civic improvement,Identity (Psychology)",0.60,0.38,0.55,0.65,8.00
museum activism,"""only a decade ago, the notion that museums, galleries and heritage organisations might engage in activist practice, with explicit intent to act upon inequalities, injustices and environmental crises, was met with scepticism and often derision seeking to purposefully bring about social change was viewed by many within and beyond the museum community as inappropriately political and antithetical to fundamental professional values today, although the idea remains controversial, the way we think about the roles and responsibilities of museums as knowledge-based, social institutions is changing museums and activism examines the increasing significance of this activist trend in thinking and practice at this crucial time in the evolution of museum thinking and practice, this ground-breaking volume brings together more than fifty contributors working across six continents to explore, analyse and critically reflect upon the museum's relationship to activism including contributions from practitioners, artists, activists and researchers, this wide-ranging examination of new and divergent expressions of the inherent power of museums as forces for good, and as activists in civil society, aims to encourage further experimentation and enrich the debate in this nascent and uncertain field of museum practice museum activism elucidates the largely untapped potential for museums as key intellectual and civic resources to address inequalities, injustice and environmental challenges this makes the book essential reading for scholars and students of museum and heritage studies, gallery studies, arts and heritage management and politics it will be a source of inspiration to museum practitioners and museum leaders around the globe""-- provided by publisher",museums; museums; museums; museum exhibits; social justice; social influence,"Community engagement,Cultural activism,Cultural institutions,Activism in art institutions,Museum role,Community participation,Social change,Museums,Museum activism,Social responsibility,Public policy and museum administration,Museum politics","Community life,Cultural rights,Cultural relations,Institutional Critique (Art movement),Museum directors,Community development,Social change,Museums,Museums and older people,Responsibility,Theft from museums,Museum studies",0.25,0.08,0.32,0.63,12.00
