Title,Abstract,True_LCSH,Predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
the essential ellen willis,"""out of the vinyl deeps, published in 2011, introduced a new generation to the incisive, witty, and merciless voice of ellen willis through her pioneering rock music criticism in the years that followed, willis's daring insights went beyond popular music, taking on such issues as pornography, religion, feminism, war, and drugs the essential ellen willis gathers writings that span forty years and are both deeply engaged with the times in which they were first published and yet remain fresh and relevant amid today's seemingly intractable political and cultural battles whether addressing the women's movement, sex and abortion, race and class, or war and terrorism, willis brought to each a distinctive attitude--passionate yet ironic, clear-sighted yet hopeful offering a compelling and cohesive narrative of willis's liberationist ""transcendence politics,"" the essays--among them previously unpublished and uncollected pieces--are organized by decade from the 1960s to the 2000s, with each section introduced by young writers who share willis's intellectual bravery, curiosity, and lucidity: irin carmon, spencer ackerman, cord jefferson, ann friedman, and sara marcus the essential ellen willis concludes with excerpts from willis's unfinished book about politics and the cultural unconscious, introduced by her longtime partner, stanley aronowitz an invaluable reckoning of american society since the 1960s, this volume is a testament to an iconoclastic and fiercely original voice ""-- provided by publisher",american essays,"Feminism, Feminist theory, Rock music, Music criticism, Women's rights, Abortion, Sex, Pornography, Religion, War, Terrorism, Liberation movements, Politics, Cultural unconscious, American society","Feminism,Feminist theory,Rock music,Desire in music,Women's rights,Abortion,Sex,Pornography,Religion,War,Terrorism,National liberation movements,Politics and government,Cultural awareness,Participation, American",0.00,0.00,0.00,0.23,16.00
"1987 neptune plaza concert series collection, 1987","manuscript materials, sound recordings, photographs, and slides documenting performances of bluegrass music; music and dance from cape breton, nova scotia; afghan and iranian traditional music; steel band music; gospel music; and pan-andean music recorded live outdoors on neptune plaza in front of the thomas jefferson building, library of congress, at concerts from april through september 1987, sponsored by the american folklife center and the national council for the traditional arts",folk music; music; bluegrass music; bluegrass music; gospel music; folk music; folk dancing; tar (lute) music; music; music; popular music; popular music; rabab music; tabla music; steel band music; steel band music; afghans; african americans; canadians; caribbean americans,"Music festivals, Concerts, American Folklife Center, Library of Congress, Traditional arts, Bluegrass music, Cape Breton music, Afghan music, Iranian music, Steel band music, Gospel music, Pan-Andean music","Music festivals,Concerts,Lockwood House (Painesville, Ohio),Classification, Library of Congress,Manners and customs in art,Bluegrass music,Songs, Breton,Band-i Darūntah (Afghanistan),Songs, Persian,Steel band music,Gospel music,Songs, Frisian",0.21,0.20,0.59,0.54,15.00
true or false?,"an encyclopedic compendium of facts, images, and infographics brings familiar topics to life and helps readers discover fun-filled trivia and statistics in a range of subjects, from science and history to culture and the natural world",common fallacies; curiosities and wonders,"reference works, trivia, statistics, science, history, culture, natural history","Reference,Trivia,Statistics,Science,History,Culture,Natural history",0.00,0.00,0.00,0.26,7.00
happy vagrancy : essays from an easy chair,"""this volume includes many ruminations on nature, the nature of writing, mortality, and human folly and near folly, rendered in prose that is often poetic and deeply entwined in the author's intertextual web of influences, which vary from low brow to a very high forehead indeed"" -- provided by publisher",nature; writing; life; old age,"essays, literature, nature, mortality, human behavior","Essays,Literature,Nature,Mortality,Human behavior",0.25,0.20,0.63,0.62,5.00
intentional practice for museums : a guide for maximizing impact,"""intentional practice for museums: a guide for maximizing impact introduces the cycle of intentional practice--a practical approach to planning, evaluating, reflecting, and aligning your work""-- provided by publisher",museums; system theory,"museums, museum administration, museum management, museum planning, museum evaluation","Museums,Museum cooperation,Museum cooperation,Museum cooperation,Museum cooperation",0.50,0.50,0.63,0.90,2.00
mrm5 : museum registration methods,"rewritten, expanded and fully updated, mrm5 encompasses all that needs to be known and done when a museum accessions, measures, marks, moves, and displays or stores an object/artifact of any kind mrm5 includes expert advice from more than 60 acknowledged leaders in their disciplines new with the 5th edition are special teaching sections that challenge students and seasoned staff alike with questions about the process and procedures of accessioning and caring for objects",museum registration methods; museums,"museum registration, museums, cultural property, art objects, collection management, conservation and restoration, museum collections","Museum registration methods,Museums,Cultural property,Art objects,Collection management,Conservation and restoration,Museum archives",1.00,0.29,0.65,0.63,7.00
the world's craziest records,"""describes some of the craziest, silliest, and most extraordinary records achieved by people around the world""-- provided by publisher",curiosities and wonders,"Guinness World Records, Records and correspondence","World records,Records and correspondence",0.00,0.00,0.00,0.12,2.00
museums in china : materialized power and objectified identities,"""from the earliest museums established by western missionaries in order to implement religious and political power, to the role they have played in the formation of the modern chinese state, the origin and development of museums in mainland china differ significantly from those in the west the occurrence of museums in mainland china in the late nineteenth century was primarily a result of internal and external conflicts, westernization and colonialism, and as such they were never established solely for enjoyment and leisure using a historical and anthropological framework, this book provides a holistic and critical review on the establishment and development of museums in mainland china from 1840 to the present day, and shows how museums in china have been used by a wide range of social, political, and state actors for a number of economic, religious, political and ideological purposes indeed, tracey l-d lu examines the key role played by museums in reinforcing social segmentation, influencing the economy, protecting cultural heritage and the construction and enhancement of ethnic identities and nationalism, and how they have throughout their history helped the powerful to govern the less powerful or the powerless more broadly, this book provides important comparative insights on museology and heritage management, and questions who the key stakeholders are, how museums reflect broader social and cultural changes, and the relationship between museum and heritage management drawing on extensive archival research and anthropological fieldwork, as well as the author's experience working as a museum curator in mainland china in the late 1980s""-- provided by publisher",museums,"museums, china, power (social sciences), identity (philosophical concept), cultural heritage, nationalism, museology, heritage management, social segmentation, ethnic identity, colonialism, westernization, museum curators, china -- history -- 1840-1949, china -- history -- 1949-","Museums,China,Power (Social sciences),Identity (Philosophical concept),Heritage tourism,Nationalism,Museum studies,Heritage tourism,Social prediction,Ethnic identity,Colonial influence,Western civilization,Museum curators,Chronology, Chinese,Chinese reunification question, 1949-",1.00,0.06,0.30,0.35,16.00
"your pinkie is more powerful than your thumb : and 333 other surprising facts that will make you wealthier, healthier, and smarter than everyone else","focuses on the most recent discoveries in health, science, and history to present a collection of money and health-related facts",questions and answers; curiosities and wonders,"surprising facts, health, science, wealth, personal finance, money management","Bad news,Health,Science,Wealth,Finance, Personal,Cash management",0.00,0.00,0.00,0.25,7.00
"knowledge and the public interest, 1575-1725","""many studies relate modern science to modern political and economic thought using one shift in order to explain the other, however, has begged the question of modernity's origins new scientific and political reasoning emerged simultaneously as controversial forms of probabilistic reasoning neither could ground the other they both rejected logical systems in favor of shifting, incomplete, and human-oriented forms of knowledge which did not meet accepted standards of speculative science this study follows their shared development by tracing one key political stratagem for linking human desires to the advancement of knowledge: the collaborative wish list highly controversial at the beginning of the seventeenth century, charismatic desiderata lists spread across europe, often deployed against traditional sciences they did not enter the academy for a century but eventually so shaped the deep structures of research that today this once controversial genre appears to be a musty and even pedantic term of art""-- provided by publisher",learning and scholarship; communication in learning and scholarship; science,"Science and state, Probabilism, Philosophy, Europe, History, 17th century, Research, Knowledge management, Intellectual history, Science and politics","Science and state,Probabilism,Philosophy,Europe,History,17th century,Research,Knowledge management,Intellectual history,Democracy and science",0.00,0.00,0.00,0.43,10.00
the world almanac for kids 2012,"offers facts on a range of topics, from animals to weather and from computers to sports","almanacs, children's","Reference works, Almanacs, Children's literature","Reference,Almanacs,Children's literature",0.50,0.33,0.50,0.63,3.00
humanities and pedagogy : teaching of humanities today,"contributed papers presented at the international seminar on ""teaching of humanities"", what is needed now held in 2001 at ciefl",humanities; humanities,"humanities, education, pedagogy, teaching","Humanities,Education,Critical pedagogy,Teaching",1.00,0.25,0.63,0.55,4.00
beyond coincidence : amazing stories of coincidence and the mystery behind them,"from magic and religion to subatomic particles and probability, a look at the baffling complexities of coincidence recounts more than two hundred bizarre stories of synchronicity",curiosities and wonders; coincidence,"Coincidence, Synchronicity, Probability theory, Parapsychology, Anomalies, Magic, Religious experience","Coincidence,Synchronization,Probabilities,Parapsychology,Anomalies,Magic,Religious life",0.50,0.14,0.36,0.36,7.00
the new book of knowledge,"an illustrated encyclopedia with articles on history, literature, art and music, geography, mathematics, science, sports, and other topics some articles include activities, games, or experiments",children's encyclopedias and dictionaries,"encyclopedias, reference works, general knowledge, education","Encyclopedias,Reference,Knowledge, Theory of,Education",0.00,0.00,0.00,0.31,5.00
the future without a past : the humanities in a technological society,"""argues that technological imperatives like rationalization, universalism, monism, and autonomy have transformed the humanities and altered the relation between humans and nature examines technology and its impact on education, historical memory, and technological and literary values in criticism and theory, concluding with an analysis of the fiction of don delillo""--provided by publisher",humanities; technology and civilization; science and the humanities; humanities; learning and scholarship,"Humanities, Technology, Education, Criticism, Theory, Don DeLillo, Literary values, Human nature, Philosophy","Humanities,Technology,Education,Criticism,Theory,Pasillos,Social values in literature,Self-interest,Philosophy",0.25,0.11,1.00,0.48,9.00
"massachusetts treasures : a guide to marvelous, must-see museums","""well known for its world-renowned art museums--from the clark art institute in williamstown to the museum of fine arts in boston--massachusetts is also home to numerous institutions with more eclectic collections and, oftentimes, lower profiles these include mansfield's national black doll museum of history and culture, watertown's plumbing museum, and granville's noble and cooley center for historic preservation in massachusetts treasures, chuck d'imperio explores more than forty museums scattered throughout the bay state, from cape cod to the berkshires many--but not all--might be considered ""offbeat,"" and each and every one is enchanting through personal visits and interviews with founders and directors, d'imperio offers an inside glimpse into some of the commonwealth's most unique museums, providing a valuable guide for road warriors and history buffs discovering massachusetts either for the first or the tenth time""-- provided by publisher",museums,"Massachusetts, Museums, Art museums, History museums, Cultural institutions, Massachusetts--Description and travel","Massachusetts,Museums,Art museums,Historical museums,Cultural relations,Massachusetts",1.00,0.20,0.63,0.70,5.00
museum rhetoric : building civic identity in national spaces,"""examines the role of museums in promoting cultural heritage and national identity, focusing on rhetorical understandings of public space and civic engagement""--provided by publisher",museums; national museums; rhetoric; nationalism; cultural property,"museums, cultural heritage, national identity, civic engagement, public spaces, rhetoric, cultural institutions","Museums,Heritage tourism,Identity,Civic improvement,Public spaces,Rhetoric,Cultural relations",0.40,0.29,0.88,0.59,7.00
museum activism,"""only a decade ago, the notion that museums, galleries and heritage organisations might engage in activist practice, with explicit intent to act upon inequalities, injustices and environmental crises, was met with scepticism and often derision seeking to purposefully bring about social change was viewed by many within and beyond the museum community as inappropriately political and antithetical to fundamental professional values today, although the idea remains controversial, the way we think about the roles and responsibilities of museums as knowledge-based, social institutions is changing museums and activism examines the increasing significance of this activist trend in thinking and practice at this crucial time in the evolution of museum thinking and practice, this ground-breaking volume brings together more than fifty contributors working across six continents to explore, analyse and critically reflect upon the museum's relationship to activism including contributions from practitioners, artists, activists and researchers, this wide-ranging examination of new and divergent expressions of the inherent power of museums as forces for good, and as activists in civil society, aims to encourage further experimentation and enrich the debate in this nascent and uncertain field of museum practice museum activism elucidates the largely untapped potential for museums as key intellectual and civic resources to address inequalities, injustice and environmental challenges this makes the book essential reading for scholars and students of museum and heritage studies, gallery studies, arts and heritage management and politics it will be a source of inspiration to museum practitioners and museum leaders around the globe""-- provided by publisher",museums; museums; museums; museum exhibits; social justice; social influence,"museums, social activism, social justice, museum management, museum studies, arts administration, civic engagement, community development, environmental protection, inequality, social change, civil society, cultural institutions, heritage preservation, public policy, politics","Museums,Activism,Social justice,Museum cooperation,Museum studies,Arts administrators,Civic improvement,Community development,Environmental protection,Inequalities (Mathematics),Social change,Civil society,Cultural relations,Historic preservation,Public policy,Politics and government",0.50,0.12,0.44,0.55,16.00
mental-floss : the book : the greatest lists in the history of listory,"for ten years, the knowledge seekers at mental-floss have been hunting and trapping the world's rarest facts, locking them into captivating lists for the world to admire this book is packed with a decade's worth of the smartest, quirkiest stories around",lists,"fact books, trivia, popular culture, knowledge, information resources","Reference books,Trivia,Popular culture,Knowledge and learning,Information resources",0.00,0.00,0.00,0.25,5.00
snapshots of museum experience : understanding child visitors through photography,"""children are one of the major audiences for museums, but their visits are often seen solely from the point of view of museum learning in snapshots of museum experience, will buckingham draws upon elee kirk's research amongst child visitors to the oxford university museum of natural history, to take a different approach using a method of photo-elicitation with four- and five-year-old child visitors to the museum, the book investigates children's experience of the museum, and in the process undermines many of our assumptions about the interests, needs and demands of child museum visitors drawing together the fields of museum studies and childhood studies, the book considers children as active creators of the museum visit it investigates the way that children navigate and take control of the physical and social spaces of the museum, finding their own idiosyncratic pathways through these spaces it also explores how elements of the museum 'light up', becoming salient to the child visitor finally, it investigates how children make sense through intellectually and imaginatively engaging with these elements of the museum visit snapshots of museum experiences gives a unique insight into the sheer diversity of children's museum experiences and discusses how museums might cater more successfully to the needs of their child visitors as such, it should be of great interest to academics, researchers and students in the fields of museum studies, visitor studies and childhood studies it should also be essential reading for museum educators and exhibition designers""-- provided by publisher",museums and children,museum visitors; children; museum exhibits; museum education; childhood; museum attendance; museum design,Schools of museum studies,0.00,0.00,0.00,0.76,1.00
nomenclature 30 for museum cataloging,"""nomenclature 30 is a much-expanded edition of robert g chenhall's system for classifying man-made objects, originally published in 1978 the chenhall system is the standard cataloging tool for thousands of museums and historical organizations across the united states and canada in this third edition, three new hierarchical levels of terms allow for more precise definitions of objects and their functions every classification and object term has been reviewed and revised as needed by a professional task force appointed by the american association for state and local history""--publisher's description",museum registration methods,"museum cataloging, classification, object-oriented information systems, museum collections, cultural property, material culture, artifact, museum administration and organization","Museum labels,Classification,Object-oriented methods (Computer science),Museum archives,Cultural property,Material culture,Piecework,Museum cooperation",0.00,0.00,0.00,0.35,8.00
the digital humanities : a primer for students and scholars,"""the digital humanities is a comprehensive introduction and practical guide to how humanists use the digital to conduct research, organize materials, analyze, and publish findings it summarizes the turn toward the digital that is reinventing every aspect of the humanities among scholars, libraries, publishers, administrators, and the public beginning with some definitions and a brief historical survey of the humanities, the book examines how humanists work, what they study, and how humanists and their research have been impacted by the digital and how, in turn, they shape it it surveys digital humanities tools and their functions, the digital humanists' environments, and the outcomes and reception of their work the book pays particular attention to both theoretical underpinnings and practical considerations for embarking on digital humanities projects it places the digital humanities firmly within the historical traditions of the humanities and in the contexts of current academic and scholarly life""-- provided by publisher",digital humanities; humanities; humanities; humanities; humanists; digital media; digital communications; information storage and retrieval systems,"Digital humanities, Humanities, Scholarly communication, Research, Information technology, Academic libraries, Digital scholarship, Humanism, Humanities computing","Digital humanities,Humanities,Scholarly publishing,Research,Information technology,Academic libraries,Open scholarship,Humanism,Digital humanities",0.33,0.25,0.85,0.60,8.00
signs & symbols,"from simple shapes and colors to gods, mythical beasts, sacred rituals, and global branding, over 2,000 signs and symbols are explained through text, illustrations, and photography grouped thematically and comprehensively cross-referenced includes the physical world, animals, plants, humans, colors, shapes, patterns, numbers, picture writing, alphabets, international signs, professional signs, brands and logos, heraldic emblems, national flags, sign languages and signals, and symbolic gestures",signs and symbols; signs and symbols; signs and symbols,"Symbols, Signs and symbols, Semiotics, Iconography, Heraldry, Flags, Sign language, Gestures, Communication, Visual communication","Symbols,Signs and symbols,Semiotics,Iconography,Heraldry,Flags,Sign language,Gesture,Communication,Visual communication",1.00,0.10,1.00,0.46,10.00
the digital humanities and the digital modern,"this book provides new critical and methodological approaches to digital humanities, intended to guide technical development as well as critical analysis informed by the history of technology and culture and new perspectives on modernity, smithies grounds his claims in the engineered nature of computing devices and their complex entanglement with our communities, our scholarly traditions, and our sense of self the distorting mentalité of the digital modern informs our attitudes to computers and computationally intensive research, leading scholars to reject articulations of meaning that admit the interdependence of humans and the complex socio-technological systems we are embedded in by framing digital humanities with the digital modern, researchers can rebuild our relationship to technical development, and seek perspectives that unite practical and critical activity this requires close attention to the cyber-infrastructures that inform our research, the software-intensive methods that are producing new knowledge, and the ethical issues implicit in the production of digital humanities tools and methods the book will be of interest to anyone interested in the intersection of technology with humanities research, and the future of digital humanities -- from publisher's website",digital humanities,"digital humanities, digital culture, modernity, human-computer interaction, technology and culture, computational research, cyberinfrastructure, research ethics, software studies, humanities computing","Digital humanities,Digital media,Amateurism,Human-computer interaction,Technology in popular culture,Computational complexity,Cyberinfrastructure,Journalistic ethics,Software engineering,Digital humanities",1.00,0.11,0.63,0.39,9.00
"space, humans, and farts","did you know that the planet jupiter has at least fifty moons? did you know that albert einstein's brain was stolen after he died?! learn more weird-but-true science facts with aj and andrea from dan gutman's my weird school series whether you're a kid who wants to learn more about science or simply someone who wants to know how many million times the earth could fit into the sun, this is the book for you!",curiosities and wonders; science,"astronomy, science, Jupiter (Planet), Einstein, Albert, Biography","Astronomy,Science,Jupiter (Planet),Relativity,Albert Medal,Biography",0.50,0.17,0.50,0.48,6.00
collecting the past : british collectors and their collections from the 18th to the 20th centuries,"""today's libraries and museums are heavily indebted to the passions and obsessions of numerous individual collectors who devoted their lives to amassing collections of books, manuscripts, artworks, and other culturally significant objects collecting the past brings together the latest research on a wide range of significant british collectors from the eighteenth to the twentieth centuries, including hans sloane, sarah sophia banks, thomas phillipps, sydney cockerell, j p morgan jnr, alfred chester beatty and r e hart contributors to the volume examine the phenomenon of collecting in a variety of settings and across a range of different materials considering the aims and motives that led these collectors to assemble such remarkable collections, the book also examines the history of these collections after the collector's death particular attention is given to the often complicated relationship between collectors and the public institutions that subsequently came to house their collections situated within the framework of cultural collecting more generally, this book offers an authoritative series of essays on key collectors collecting the past should be most interesting to researchers, academics and postgraduate students engaged in the study of museum studies, book history, manuscript studies, museum history, library history and the history of collecting professionals in libraries, museums and galleries will also find the volume of great interest""-- provided by publisher",collectors and collecting,"British collectors, collectors and collecting, book collectors, manuscript collectors, museum acquisition, museum collections, library collections, cultural property, art collectors, philanthropists, book history, manuscript studies, museum history, library history, cultural collecting, collecting of books, collecting of manuscripts, collecting of artworks, cultural institutions, public institutions, museum acquisition, library acquisition, cultural property law","Collectors' marks,Collectors and collecting,Book collectors,Book collectors,Museum cooperation,Museum archives,Documents libraries,Cultural property,Artists as art collectors,Philanthropists,Time books,Manuscript dating,Historical museums,Historical libraries,Cultural property,Book collecting,Acquisition of manuscripts,Small art works,Cultural relations,Public institutions,Museum cooperation,Library cooperation,Cultural property",1.00,0.05,0.26,0.43,19.00
museums in a digital culture : how art and heritage become meaningful,"""the experience of engaging with art and history has been utterly transformed by information and communications technology in recent decades we now have virtual, mediated access to countless heritage collections and assemblages of artworks, which we intuitively browse and navigate in a way that wasn't possible until very recently this collection of essays takes up the question of the cultural meaning of the information and communications technology that makes these new engagements possible, asking questions like: how should we theorise the sensory experience of art and heritage? what does information technology mean for the authority and ownership of heritage?""--provided by publisher",communication in museums; museums,"museums, art, digital culture, information technology, heritage, cultural property, authority, ownership, art appreciation, cultural heritage, technology and the arts","Museums,Art,Digital media,Information technology,Heritage tourism,Cultural property,Authority,Ownership,Art appreciation,Heritage tourism,Technology and the arts",0.50,0.10,0.43,0.46,10.00
